番号,アイデア
512,寝転んだ状態から立ち上がるのが面倒
513,ハンガーから服が転げ落ちる
514,重要書類にハンコを押し忘れる
515,ガムを吐き出す場所に困る
516,興味のない話をおばさんからされた時の対応に困る
517,居酒屋での酒注文がスムーズにいかないことがある
518,他人のおならを嗅いでしまった時の不快感
519,犬のうんちを踏んでしまった時のストレス
520,大きな汗染みを作ってしまった時の恥ずかしさ
521,大きな看板に頭をぶつけてしまった時の痛みと恥ずかしさ
522,朝、服装を考えるとき、外が寒いか、家の中にいるとわからない
523,会社を出る時、傘を忘れて取りに戻ることがある
524,遠い会場までの経路を迷う
525,届いたメールが迷惑メールか迷う
526,イベントの申し込みタイミングを逃すか心配
527,スマホのバッテリーが足りなくなり、コンビニで充電器を購入することになる
528,家の近くの駅で雨に気付き、コンビニで傘を購入。いくつも貯まる
529,日々、体重と体温を計測して記録。たまに忘れることがある
530,桜の咲いている公園など、その日通るべきランニングコースはどれか迷う
531,管理するパスワードの数が増え続ける
532,粗大ゴミを出す指定日を忘れないか心配
533,次に髪を切る日を決めるのに予定を毎回確認する必要がある
534,電車の何両目に乗ると降りる時に便利かわからない
535,家族からの連絡を見逃さないか心配（LINE、電話、メール）
536,定期的な引き落としの前に残高が足りているか気になる
537,ランニングの準備運動のルーティンが十分には覚えられていない
538,毎朝のニュースチェック（日経電子版）に思ったより時間をかけてしまう
539,ランニングで普段と違うルートだと、どこにトイレがあるかすぐにわからない
540,ランニングが終わる時に、聞いている音声メディアのコンテンツがいいところなので、やむを得ず遠回りする
541,練習を決める際に、水泳と自転車とランニングの適切な時間配分がわからない
542,家がすぐ汚くなる
543,掃除機をかけるのがめんどくさい
544,皿洗いを溜めてしまう
545,やりたいことがどんどん増えて何から手をつければいいか分からない
546,朝早く起きなきゃいけないのに夜更かししてしまう（スマホ見ちゃう）
547,いつもギリギリに家を出てしまう
548,自分がどれくらい運動不足か知りたい
549,メモのファイルを作りすぎて整理する時しか過去のものを見ない
550,デザインのまとめ方がわからない（色・レイアウト・用途など分け方が複雑）
551,Pinterestはサブボードまで、Notionは関連画像が出ずアップロードが面倒
552,いらないスクショがどんどん溜まって消すのを忘れる
553,爪を可愛くしたいけど塗るのが面倒、落とすのも面倒
554,ネイルがひとつの指でも剥げたら気分が落ちる
555,人の名前を忘れる
556,電車の空いている号車・扉の位置を知りたい
557,現金払いしたものの記録をつけ忘れる
558,自分にとって必要な睡眠時間がわからない・すぐに寝られない
559,興味ある分野の、頑張れる友達が欲しい
560,毎日自分のやる気を上げてほしい
561,先輩にどのくらい頼っていいのかわからない
562,適切な水分量を取れるようになりたい
563,姿勢が良くなりたい
564,ずっと座っているので体力が下がっている気がする
565,外出時の気温がわからず、帰りに寒い思いをすることがある
566,SNSで特定の人にだけ見せる投稿を毎回選択できるようにしたい
567,写真を撮ってもあまり使う機会がない
568,動画編集をもっとすぐできるようになりたい
569,インスタアカウントが多すぎて、どこに何を投稿すればいいかわからない
570,ポートフォリオ作りに時間がかかる
571,安くて美味しい一人分の料理を作りたい
572,おばあちゃんと話してほっこりしたい
573,就活の情報をシェアしたい
574,喫煙所があるところを知りたい
575,買ったコスメが何かを忘れてしまう
576,以前どのようなネイルをしたか確認したい
577,企業説明会などのスケジュールを一元管理できたら便利
578,服のサイズを忘れてしまう
579,どこで買ったかを忘れてしまう
580,インターン情報を一目で見たい
581,メールの要件をまとめてほしい
582,お花見の時に桜の種類を知りたい
583,X（旧Twitter）が不便
584,義務教育の申込書がアナログでめんどくさい
585,市役所に行かないと手続きできないのがめんどくさい
586,会員登録時に個人情報を入れるのがめんどくさい
587,レンタル充電器がスマホの充電が切れてると借りられないのが不便
588,推しのイベントカレンダーが欲しい
589,薬が無くなる前に教えてほしい
590,電車の遅延情報をすぐ知りたい
591,銀行のカードが1枚にまとまってほしい
592,外出する時に雨の場合のみ通知してほしい
593,動画配信コンテンツの新作動画の口コミを知りたい
594,変換機能がダメダメ（誤変換が多いなど）
595,授業中にスマホをいじってるとノートがとれない
596,鞄の中で鍵やイヤホンがすぐ見つからない
597,課題の量が多くて優先順位がつけづらい
598,授業の空きコマに使える場所がすぐ見つからない
599,自販機で買いたい飲み物が売り切れだった
600,友達と集まる時、店選びが毎回めんどくさい
601,使われてない教室が空いているかどうか分からない
602,家を出るまであと何分かわからない
603,レポートの提出期限をうっかり忘れる
604,授業の内容が難しすぎて家で復習が必須
605,ノートを家に忘れて復習できない
606,研究室のスケジュールが急に変わるのに伝わらない
607,お弁当の中身がいつも同じで飽きる
608,授業で使う資料が急に変更される
609,「いつ空いてる？」と言われた時にすぐ答えられない
610,サークルや研究室の予定がバラバラで調整しづらい
611,自分の体調が悪化してるのに気づかない
612,電車の遅延情報がリアルタイムで分かりにくい
613,学校のWi-Fiがすぐ切れる
614,スマホの通知が多すぎて大事な情報を見落とす
615,バスが満員で乗れないことがある
616,傘を忘れた日に限って雨が降る
617,講義の課題提出日を忘れがち
618,バスや電車が満員かどうか事前に分からない
619,大学のトイレが混んでいて急いでいるときに困る
620,カフェの電源席が空いているか行ってみないと分からない
621,実験室の装置が予約で埋まっているか現地で確認しないといけない
622,通学時間帯の天気変化に対応できず濡れる
623,勉強中にスマホをいじってしまう
624,課題の提出有無を忘れる
625,同じような名前の課題ファイルで混乱する
626,勉強スペースが空いているかどうか分からない
627,自転車置き場が満杯か行ってみないと分からない
628,エレベーターが遅くて時間を無駄にする
629,友人に借りたものを返し忘れる
630,グループワークで誰がどこまでやったか見えづらい
631,急な休講に気づかない
632,食堂が混んでいるかどうかが分からない
633,大学のWi-Fiが弱い場所がある
634,プリンターの紙切れに気づかず印刷できない
635,実験結果の記録を忘れてしまう
636,電車の遅延がわかりたい
637,定期込みでの電車の運賃を知りたい
638,快速の電車の時間帯を知りたい
639,駅の中にゴミ箱があるかどうか知りたい
640,ロードが長い
641,自転車置き場で、自転車同士の密度が高い
642,院進の日程がわからなくて怖い
643,他の研究と内容が被ってないかが怖い
644,傘が必要なレベルの雨なのか知りたい
645,駅の混雑状況を知りたい
646,駅周辺でイベントをやってるかどうか知りたい
647,課題が終わってるかどうかが不安
648,キャパが限界を超えていないか不安
649,忘れ物がないか不安
650,図書館が閉館日であることを忘れてしまってきてしまった
651,帰りに買い物をする予定だったのに忘れてしまった
652,電子マネー決済の方法がわかりづらい
653,ハンバーガーのサイズがいまいちどのぐらいなのかが分かりずらい
654,アカウント側でロックされてるのに、授業で必要な機能がある
655,久しぶりに会った友達の名前が思い出せない
656,坂や信号、人の往来が少ないといった条件に基づく最適なジョギングコースがわからない
657,ルーティンメールを送るのが面倒。あと伸ばしにして忘れてしまう
658,カフェの電源席が空いてるか行ってみないと分からない
659,アルコールを飲んだ人、飲まない人を区分して飲食代を計算したい
660,見知らぬ土地でのジョギングは道がわからず、迷子になる
661,クライアントリストがあるだけで、活用できていない
662,フリーアドレスのオフィス。どの席が空いているかわからない。
663,ポッドキャストでいい内容だなと思ってもそれがどれだったかわからなくなる
664,様々なプラットフォームからいい情報を受けても忘れてしまう、情報源がわからなくなる
665,ローカルやストレージ、仕事上のデータがカオス。どこになにがあるのやら
666,服のコーディネイトの効率を上げたい。今年何を買い足せばいいのか無駄がないのかわからない
667,インテリアコーディネイトが苦手。希望の雰囲気を具現化できない
668,早起きなのだけど、外出時間までつい準備にだらだらしてしまう
669,"wifi,電源カフェの空席情報を店舗横断で探したい"
670,スーパー音痴のくせに音楽大好き。好きな曲に自分の声をのせてうまく歌いたい
671,長距離ラン、中盤以降はきついし退屈。音楽以外で気を紛らわせたい
672,行こうと思ってた映画と美術館、気づいたら終わってる
673,リモートと出社のハイブリッド。出社してる社員の顔ぶれを見て出社日をきめられたら。
674,家庭でも会社でも溜まる一方のビニール傘。急な雨で困っている方に差し上げたい。サステナブルなループをつくれたら。
675,レストランのメニューの料理名、聞かないとわからないものがあり面倒な時がある
676,GoogleMAPの徒歩経路、最短距離じゃなくて、歩いて楽しい、消費カロリーが高いなど好みのルートを候補にあげてくれたなら。
677,家の鍵を閉めたか不安になる
678,長期間家を空けるときに必要な確認
679,悩み事の相談
680,落ち込んだ時の解決法
681,終わったタスクが消えるやることリスト
682,日常に刺激が欲しい
683,PayPayの決済音を消す
684,消耗品の在庫管理
685,直近で新しく始めたもののメモ
686,最近使ってないアプリの通知
687,同じ画像を保存し内容にしたい
688,新規アカウント作成を楽にしたい
689,文字数カウント
690,迷惑電話チェッカー
691,夜ご飯提案
692,日頃の行いをポイント化して記録
693,課題が提出できているか不安
694,必要単位数と足りない単位を計算
695,料理の再現
696,賞味期限切れを防ぎたい
697,薬を一日何回、何錠どのタイミングで飲むかややこしい
698,学食の混雑状況がわからない
699,ゴミの日忘れてしまう
700,ネット注文の品が思ってたのと違う
701,自習室の混雑状況がわからない
702,使えるコンセントのある場所がわからない
703,広い駅の乗り換えで迷う
704,広い駅の出口がたくさんあって迷う
705,日用品の残量確認を忘れてなくなってしまう
706,車で狭い道を通りたくない
707,部屋の電気を消し忘れる
708,毎日献立を考えるのが大変
709,講義の課題の締め切りがそれぞれあってこんがらがる
710,講義資料が沢山あってまとめられない
711,それぞれの曜日で最初の講義の時間がバラバラで確認が大変
712,スマホだけ持って出かけようとすると免許証を忘れて不携帯状態になってしまう
713,エアコンのリモコンがなくなる
714,学内の個室トイレの空き状況がわからない
715,冷蔵庫の奥でいつのまにか期限切れになっている
716,ワイヤレスイヤホンが行方不明になる
717,家の中でスマホをどこに置いたか忘れる
718,読んだ本、内容を忘れる
719,家の鍵をかけたか分からなくなる
720,床屋に行くタイミングがズレる
721,雨が降る予報があったのに傘を忘れる
722,買い物リスト忘れる
723,駐車場で駐車位置を忘れる
724,食べ物の写真でカロリーを表示
725,PTAや地域イベント、ボランティアで働き手が少ない
726,コンタクト2週間の交換時期を忘れる
727,出先で雨が止んだとき傘を忘れる
728,飲む薬が分からなくなる
729,飲み会のスケジュール調整
730,友人と行った旅行の現地で各々支払った金額の割り勘が面倒
731,旅行が計画通り行かなかった時のスケジュール調整が難しい
732,出張経費の領収書管理
733,晩ご飯、洗い物当番を忘れる
734,体重増加の要因と飲食・行動の関連性が分からない
735,パートナーとの記念日を忘れる
736,電車の乗り換えが複数回ある時、どこで乗り換えるか分からなくなる
737,買い物へ行った際、駐車した場所が分からなくなる
738,英語論文を読むのが難しい．
739,研究室の冷暖房が自動で消えてしまい，気がついたら室温が上昇している．
740,喫煙可能な場所がわからない．
741,コインパーキングの空き状況がわからない．
742,野球場の飲食店の混雑状況がわからない．
743,100円ショップで，商品名はわかるが，ジャンルが不明な商品のジャンル検索．
744,スーパーで買い物する際に，効率なルートがわからない．
745,課題を提出したかわからない．不安になる．
746,写真に余計なものが入り込んでいる．消したい．
747,図書館の本がどこにあるか探すのに時間がかかる．
748,キャンパス内の自販機に何が入っているか遠くからわからない．
749,奨学金や助成金の申請情報がわかりにくい．
750,学内での落とし物の問い合わせシステムが効率的でない．
751,学食の混雑状況がリアルタイムでわからない．
752,オンライン授業と対面授業が混在する日のキャンパス移動が大変．
753,キャンパス内の静かに勉強できる場所を見つけるのが難しい．
754,教授のオフィスアワーが自分の空き時間と合わない．
755,講義の録音・録画が許可されず、後から復習するのが難しい．
756,教室の温度調節ができず、寒すぎたり暑すぎたりする．
757,サイトの登録の際に，パスワードを考えるのがめんどくさい．
758,毎日最新のAI情報を取得するのが大変。そしてたまに全く関係ない記事を見てしまう。
759,得た情報を読むのが大変。最近は本を読むことすら遅くなった。
760,得た情報を理解するのが大変。私のおつむでの処理に限界。
761,新規の事業アイデアを考えるのが途中で無のループに入る。結局なんだっけ？ってスタートに戻る。
762,日本だけでなく海外のYouTubeが英語がわからなくて見れない。まずは英語を勉強したい
763,見積もりを作るのが大変。ほんと泣きそう
764,犬の散歩ルートに困る。同じ道ばかり気が付けば歩いている。
765,庭の野菜の飼育記録やどうしたらいいのか分からず枯らす
766,ゴミの分別が難しい。いつも怒られる
767,人の名前と顔が覚えられない。致命的です。
768,自治体情報誌から自分に関連する項目を呼び出したい。大切なことも書いてたりするので。
769,メモを書いてどこに書いたか忘れる。メモの意味をなしていない。
770,健康診断の結果がわからない。結局これはなんなの？って脅かされたり平気な顔してヤバかったり？
771,議会の発言をニュースではなくファクトで事実からまとめてみたい。情報の波にのまれ内容に
772,DBの情報をLINEから引っ張り出したい。情報を簡単に引っ張り出せたら早くて便利だよなぁ
773,会議の録画や録音を見返したり聞き返すのが大変。録音してもiPhoneの容量を食わせて終わってることが多いの。
774,マイクラで次何するか悩む。建築が下手でセンスなし
775,使ってないスマホアプリを整理したい。ついついたくさんダウロードして試してしまう。
776,現場やプロジェクト管理が人によって違うのをまとめたい。ほんまDiscordに統一してほしい。たまにめっちゃニッチなアプリ指定された時には。。。
777,電話でしか予約できない店に電話するのがめんどくさい？
778,未提出の課題の確認
779,空いている駐輪場の確認
780,乗る電車の確認
781,イヤホンを無くしてしまう
782,同じ授業を履修している知り合いの確認
783,プリンターが使いにくい
784,スマホの容量がすぐにいっぱいになる
785,バス停の場所がわかりずらい
786,椅子が硬くて疲れる
787,保存先を忘れる
788,ファイル名を考えるのが面倒
789,パスワードを忘れる
790,スパムメールが多い
791,就活情報が整理できない
792,スマホの写真が多くて整理できない
793,キーボードやマウスが汚れるのが気になる
794,印刷した資料のミスを直しにくい
795,SNSで時間が溶ける
796,掃除をさぼって部屋が汚くなる
797,電車内だとWi-Fiがつながりにくい
798,バスの中の空きスペースが不均一。→ヒートマップが欲しい（混雑状況の可視化）
799,人の顔をあんまり覚えられないので、名前の漢字と顔を組み合わせた（融合した）半ばイラストな画像を作りたい。
800,暗号資産の見える化（どこにあるか分からない。リワードも分からない）
801,議事録：LINEアカウントとプロダクトの連携
802,毎回発注するのがめんどくさい → ポイント制でチケットをすぐ使えるようにしたい。クローズド？
803,朝まだ寝ぼけているが起きている感じで稼働してるようにしたい（ボットとか）→gmのDiscord
804,スモールサービス/ビジネスでの課金と利益配分をスピーディーにしたい＝DAOでのイベントとか（オープンウォレット×ステーブルコイン）
805,Peatixでイベントを立てる際に毎回同じ内容を記載しないといけない？
806,桜マップの穴場版。混んでいるので家の近くとか穴場の1本でもいい説
807,1日の予定、用事の順番とルート（荷物、移動距離、回遊性考慮してくれる。途中で行きたいリストからカフェも入れる。）
808,同じような資料のバージョン違いを分析したりしたい。どのバージョンにどのページが入っているか分からなくなるので…（内容と意図・方向性付きで）
809,要らないメーリスを削除する作業がだるい
810,会話バランスの可視化がしたい。自分語りで終わらないように、最後相手により良い形で話を返すなど
811,読書会で紹介してもらった本、誰が紹介してくれたか集計
812,必要な人にアクセス権を付与せず（何年か前のファイルとか）
813,レシートの経費化を忘れて、印刷がかすれているので使えなくなる
814,共有ファイルのアクセス権設定
815,社内の図書貸出がアレになっている
816,マイクロインプレッションから体調、精神状態の管理
817,パパッと遺書（軽く死の危険がある時にすぐ発行できる。例：万博行くなど）
818,通学時間中に雨が降るのかわからない
819,学校、バイト先、電車の中など色々なところによく傘を忘れてしまう。
820,気づいたらスマホを触りすぎてしまっている。
821,今日の花粉の散布量を「朝起きた時に」知りたい。
822,自分のやりたいことをスケジュール化するのが難しい。
823,バイトの日程をいちいちカレンダーに入れるのがめんどくさい。
824,薬の飲み忘れが多発している。
825,家から最寄駅までの道路が混んでいるかを一発で確認したい。
826,クレジットカードの請求がそれぞれ違う日に来るので、今月いくら引き落とされるのかが分かりづらい。
827,寝る前に明日の時間割やスケジュールを確認したい。
828,なんとも言えない天気、気温の時、何を着ればいいのか迷う。
829,家の鍵を閉め忘れたか、電気を消したか不安になる時がある。
830,通知が多すぎて大事な連絡を見逃してしまう。
831,思いついたことを一瞬でわすれてしまう。
832,お金をチリツモで使いすぎてしまう。
833,なんの課題をいつやればいいのか、スケジュールを立てるのがめんどくさい。
834,自分の趣味に関する最新情報を一覧で見たい。
835,一度やる気だしてやろうと思ったことのモチベーションが続きにくい。
836,学食が空いている時間を知りたい。
837,家にお菓子があるのに、お腹空いている時に色々買ってしまう。
838,提出期限がいつまでかわからない
839,パーキングの混雑度が行ってみなきゃわからない
840,雨の日で傘がない時屋根が全然無い道で濡れてしまう
841,カラオケのお店で機種ごとの混雑度が分からない
842,電車で遅延してるのはわかるが何分遅延してるか正確にわからない
843,東京駅などでかい駅での乗り換えが分かりにくい
844,どこのサウナ行くか迷った時に空いてる方に行きたいがサウナの混雑度が分からない
845,都内などでトイレ行きたくてコンビニ寄ったのにトイレがない
846,ダイソーなどお店によって若干取り扱ってるものが違くて目的の商品を買うのに何個もお店を回った
847,アプリで気温は見れるけどいまいち厚着した方がいいかなどわからない
848,周辺のイベントを把握してなくていつも混んでない道なのに混んでることがある
849,都内などでファストフードに行く時駐車場があるかすぐ分からない
850,飲み会で誰が支払ってて誰がまだ支払ってないか分からない
851,飲み会で割り勘する時にキリのいい数字で割り勘するのが難しい
852,家計簿みたいのつけたいけど結局つけ忘れるとこ多くて出来ない
853,電車でどこの車両が空いているか知りたい
854,どこの自動販売機がPayPay使えるか分からない
855,気温じゃなくて体感温度が知りたい
856,街中にある言葉で英語でなんて言うんだろうと思ってもすぐわからない
857,電車で中国語の表示があるがどう発音するのか興味がわくがすぐに調べられない
858,授業確認のためにいちいちmanabaやCITポータルを開かないといけないのが大変
859,雨の日など、バスが遅れているかどうかがわからない
860,始めていくような所での道のりや所要時間がわからない（前日や向かっている最中の時）
861,カラオケに行くときに部屋の空き情報がわからない
862,一つのメールアドレスに就活、遊び、メルマガなど登録してしまって何が何だか分からなくなる
863,外で急にトイレに行きたくなった場合、コンビニによってはトイレがなくて困る
864,学割に必要な書類が学校でしか印刷できない
865,ICカードにチャージする方法がクレジットか現金しかない
866,居酒屋等ご飯を食べに行ったときに割り勘以外お会計の計算がめんどくさい
867,ポイントカードを登録せずにポイントがためられてしまう（ponta）
868,千葉工大の学生証が身分証として使えない
869,一部デビットカードをスマートフォンに入れられない
870,普通の授業じゃなく、ゼミなどの出席の管理ができない
871,電車の1両ごとの混雑度を知りたい
872,モバイルオーダー等、時間を指定するorその場で注文しなければいけない
873,自販機でデビットカードが使えない
874,時間割を自分で決めないといけない
875,複数の課題やテストの締切をひと目で管理できない
876,講義動画が倍速再生できない or スマホで見にくい
877,研究室やゼミでの連絡がLINEや口頭で属人化している
878,知り合いにものすごい頻度で茶会を開催する人がいるが、道具が今どこにあるかよく分からなくなっている
879,たくさんの道具の中から季節・フォール度・テーマ等で道具組を選ぶのが難しい
880,「茶会記」というものを毎回書くが、自動でやりたい
881,道具の説明も、パターン化すると予想されるのでマスター化して効率化を図りたい
882,茶道具には「箱書き」というものがあるが、読むのが難しい
883,同じテーマで同じ日に茶会をしている人とつながりたい
884,大人数のコンサートを運営する際、曲名のかぶりや出演希望時間帯などを考慮したプログラム組みが大変
885,行ったコンサートの記録が面倒であきらめている
886,たくさんの曲の中から、調性やテーマ・難易度・演奏時間を考慮した魅力的なプログラムを組みたい
887,推しピアニストがコンサートの宣伝にやる気がないため、海外での演奏予定が直前（または直後）しか分からない
888,楽曲分析が複雑。調が変わったところくらいはAIで判断して教えて欲しい
889,今同じ曲を弾いている人とつながりたい
890,弾ける曲のリストをシェアできる仕組みが欲しい（伴走者向け）
891,ほとんどの演奏者には演奏機会がない
892,目を瞑った写真や変な顔の写真を自動で見つけて削除対象の提案をして欲しい
893,初心者向けに、状況に応じたカメラの設定や画角を自分の好きなテイストに合わせて指示して欲しい
894,ソフトウェアの運用におけるエラー管理が煩雑
895,マニュアルをWordで書こうとする人たちがいる
896,休日にインシデントが発生した際の対応・連絡を効果的に行いたい
897,インシデント訓練を劇場型で面白く行いたい
